Project_Complexity,Team_Size,Required_Skills_Count,Avg_Team_Experience,Days_To_Deadline,Current_Workload_Factor,Is_Delayed
2,4,4,4.631596343225954,39,0.7705339524224779,0
4,9,3,9.90587134819292,53,1.7622735860931846,1
5,5,1,7.359001876713465,47,0.5165426727487044,0
4,3,3,13.088020203304742,45,0.9681924153171589,0
2,8,4,13.83745558343484,41,0.5188925572541401,0
3,2,1,14.955307977503956,46,0.6440104197592291,0
3,9,2,3.1515779013014553,51,0.9456443287596216,0
2,7,4,13.081496650656655,32,0.5814067780840604,0
4,7,4,4.724299274203225,18,1.3949457985357117,1
5,4,1,9.271422248537107,8,0.6302943619792742,0
2,3,1,8.080819674168954,57,1.5525704510991427,0
1,5,2,1.2518338420134272,24,0.5789631689407417,0
4,3,4,14.058797918685327,38,0.5889633422016451,0
3,7,1,2.0965787720890585,16,0.9579888485498995,0
2,6,2,10.635064871708302,37,1.8448572874539162,0
3,2,2,11.99009570691567,28,1.4620898730849747,0
4,9,1,12.13402988666758,24,1.655196937893379,1
3,4,4,2.896923265003827,9,0.7123281642156591,0
2,6,3,7.26597930711161,42,1.7511881498708688,0
4,8,3,12.612004186075717,34,0.5122193722913527,0
1,5,2,5.237508945302565,28,0.8195860260995091,0
2,6,3,7.54848145524529,47,1.4241384817249902,0
5,8,3,4.819114497797841,44,1.0628696128910755,0
2,6,1,7.489719850394538,11,1.976290087577845,1
4,5,2,13.429730916300322,40,0.5455088702274773,0
2,9,4,7.371739234458772,42,1.9978972519048148,1
1,6,2,8.782768239040486,20,1.4354417492919742,0
1,4,1,6.65566796624317,56,1.3380604918941448,0
5,7,3,7.441640564846557,19,0.5892686638459615,0
3,3,4,1.2124387866499038,50,0.909993314998836,0
4,6,2,4.972437139446384,27,1.8869940324373935,1
4,4,3,7.112144104385542,16,1.0313690047838664,0
3,3,2,9.873157663898205,33,1.4924798007008764,0
1,9,4,7.3007270277544905,48,1.9992445256280824,0
1,8,2,5.729438606501897,52,0.8946045707503117,0
2,3,2,6.4333822948182,19,1.3641213185217407,0
5,8,2,4.3921066088065315,33,1.5446566890533198,1
5,6,3,13.94291995883674,49,0.7469408698481228,0
5,4,4,8.304405161072804,47,0.7230088455442731,0
2,7,4,1.1877323542097236,53,1.18446186748726,0
5,6,3,1.2722476178736526,25,1.078718782638934,1
3,8,3,14.621462889328582,19,1.5713231552859708,0
2,5,3,4.100312479225431,18,0.6042631571728794,0
3,3,1,12.278516043400405,46,1.9582499356110357,0
2,6,2,1.8158542218480427,48,0.5214154725287485,0
5,8,2,13.896278313723688,20,1.4019752365042268,1
3,9,4,13.241838051333497,19,1.3439488938010826,0
3,3,2,8.995304274083205,46,0.7020735963045887,0
3,9,1,1.1259812019655808,8,0.7263739740702947,0
2,8,3,4.6093522363267265,31,1.6890162316919402,1
4,4,4,6.695517063578509,27,1.8313436876190248,1
5,2,4,7.440897634465864,33,0.9245254488256544,0
3,9,2,5.167502619873209,45,1.1569459459438527,0
4,6,4,1.4612701554374197,57,1.0324925615575302,0
5,7,3,9.26178368297159,56,0.6088205194799778,0
5,6,4,8.338165347726584,13,1.509806369023714,1
3,3,3,4.962008896007088,57,1.7377894022085352,1
3,4,1,1.5316635459744914,56,0.9573190360868107,0
2,8,1,14.924318621107162,47,1.9852636904460774,0
4,5,3,7.747806615569683,47,0.6137773359235323,0
4,7,2,11.58405938483708,11,1.4926860707217813,1
3,4,4,7.332396490718697,57,1.1723420217891334,0
5,9,2,1.6043840720811802,46,1.1699028516599839,1
3,9,4,5.334410431197001,8,1.1864684240503105,0
5,6,1,5.481541974082616,9,0.8880226607021426,1
5,5,1,12.736940656686224,9,1.5733442409983487,1
3,4,1,10.159219691998242,15,1.5823647891275403,1
1,2,4,4.8560186509526195,45,0.9235956651587405,0
4,7,1,14.548359365227205,32,1.7529596912876753,1
5,3,1,5.501585653570199,20,0.975267415475495,1
5,4,1,14.975276361602084,45,1.5876396859798134,0
1,4,1,14.946291704383684,58,0.6814996512680996,0
2,2,2,3.6769472484543853,34,0.7530524642056184,0
1,6,1,5.378375626637602,8,0.9736934667623767,0
1,8,1,7.804618778785159,6,1.3908106515017922,0
5,8,2,10.297409396070474,50,1.468267228218049,0
4,7,2,8.39266428605319,7,1.0945342579512123,0
1,7,4,14.572180567851596,54,0.616758729665771,0
2,3,3,11.135848299299681,25,1.0604519781390864,0
3,4,1,3.968627891361642,10,1.5331512739387274,1
1,5,1,2.471365702990936,47,1.506493191695474,0
1,4,1,10.637618069930994,57,0.7402946198081641,0
2,8,4,3.218334162530682,22,0.5116759554034507,0
4,3,1,12.027475764700558,48,1.6294724259441753,0
1,4,3,5.354513341644718,9,0.6595522495778656,0
1,2,2,5.576505682778491,13,0.6235237159464282,0
4,8,4,1.1511774934531676,24,0.5040518252512451,0
2,4,2,10.81415773933057,32,1.1489019889353909,0
1,4,1,2.585776542905601,30,1.2548958513512216,0
4,8,1,11.820328084489255,22,1.4564960692228859,0
1,5,1,7.886149506840895,23,0.9440957610688787,0
3,8,3,11.979917409363967,7,1.56563707458017,0
5,2,3,9.174971548768378,13,0.7539977861104123,0
3,2,4,2.1540658082658704,40,1.747985079665521,1
1,4,2,11.719132713872563,35,1.3577724933356683,0
2,7,1,1.9771927885264964,53,1.3758347350580726,0
5,5,1,7.701824087970651,21,0.8146631206686622,0
3,4,1,3.4128889980294863,59,0.6111631239505824,0
4,8,1,11.532692491690389,27,1.197087204621007,0
2,4,3,13.762277189285772,38,1.4234179278835384,0
3,3,2,8.757766287015839,45,0.6425696879925284,0
4,3,2,8.380062120188526,45,1.92580171179225,1
1,7,4,11.695484748558652,9,1.9706215403492102,0
4,5,3,1.071103381660181,19,1.318185043088738,1
3,6,1,13.848620996892251,51,1.9251037329101093,0
3,9,2,3.764283439275844,7,0.7691678563712796,0
1,3,2,14.77766437356732,23,0.5381310277692873,0
4,6,3,11.307555271446471,32,0.559114302935585,0
4,2,4,11.839516067809395,7,1.3812687191401687,1
1,3,4,10.186841725230492,42,0.5924628251552353,0
4,3,1,7.603284558992244,8,1.9378184102361307,1
1,5,4,9.002787707056317,28,0.7128998161390978,0
2,7,2,1.6496404042117592,35,0.957084209079468,0
3,6,4,9.7354331320482,49,1.7337767029975226,0
2,8,1,9.765373427818654,49,0.8281104846561396,0
5,3,2,13.476811163625332,15,0.8644526876818559,0
5,3,4,8.079189004023071,41,1.4634634336865273,1
5,5,4,2.0800212372048543,5,0.9141291327338934,1
1,5,3,5.286742886749137,13,0.8261714510115504,0
4,7,1,10.178811769600445,21,0.8812665714584862,0
2,6,4,4.3496240785204945,58,1.2359712490110901,0
2,2,3,4.927389505975613,5,1.9491498090972232,1
2,8,2,12.486566229051949,7,1.7483569123418425,0
2,7,3,9.180476244677926,51,0.9269153968402657,0
5,9,3,8.119384044830015,30,1.0450598127471467,0
2,2,4,5.458327535281261,57,1.196768375756116,0
4,4,4,11.232992503062468,35,1.9683944705254857,1
5,3,4,5.028058082860411,30,0.7585857025035736,0
2,6,3,11.318889247018452,27,1.0362246552378243,0
1,7,2,1.981420723744188,34,1.5941391409740724,0
3,3,1,13.103578782149171,14,1.945915601403415,1
3,6,3,7.993930487263059,12,0.7335128191463565,0
3,6,4,7.13911223378558,48,0.8410699312915186,0
5,6,1,9.554327761586944,29,0.8385420115856453,0
2,3,2,9.738689020547787,26,0.5313980442381103,0
5,7,1,2.8484924764599375,19,1.4061734374714243,1
4,8,4,11.587270257426985,45,1.5060546112188407,0
1,5,3,4.862996171300881,14,1.40378883518788,0
1,3,3,13.669466322378796,24,0.6069844841192216,0
3,9,4,12.449909287807655,45,0.6038451886184475,0
3,6,3,5.847724581486479,51,0.815579831741186,0
3,7,4,12.308350104810003,27,0.935441773548372,0
2,8,3,5.989466990198658,57,1.6798154838650712,0
4,4,3,2.4132675429045687,57,0.7390853986233816,0
4,9,3,14.466435342159912,5,0.5661383245962982,0
4,2,2,10.13642821301616,6,1.0909812615695826,0
4,9,2,7.385393373276283,23,1.1245882552128805,0
3,6,4,6.568826921434555,18,1.1763610072834314,0
1,4,2,5.545874679615696,12,1.7403553160404528,1
3,5,4,14.74026633600781,42,0.6470081223064126,0
4,8,1,2.8864617118327036,16,1.555913123632943,1
3,8,1,5.407270824887957,30,1.0069183565679363,0
4,6,2,7.796966963957289,31,0.9649702046532049,0
5,9,1,7.69199363076036,33,1.89881468912897,1
1,9,1,7.599130781709809,19,0.8727027866251131,0
5,8,3,3.4609734216253454,50,1.4637977530090494,1
2,4,3,3.0290553795330077,57,0.9126916360641382,0
3,6,4,4.566746208600681,5,1.2607158239605778,1
2,3,1,13.803366153228785,47,1.6794393388944169,0
3,7,4,2.582741549683142,32,1.822583785274391,1
5,4,4,11.603951447226548,7,1.7580458604425755,1
4,7,1,11.605677503867199,55,1.3732711042169599,0
4,3,2,12.336785654561671,22,0.8732244730073332,0
3,3,1,13.412616845850977,56,1.4918500748927985,0
