log_output,issue_category
failed to pull docker image [process ID: 237],Deployment error
npm ERR! missing dependency [process ID: 125],Dependency issue
failed to pull docker image [process ID: 839],Deployment error
vulnerability found in package [process ID: 908],Security issue
Jest failed with 1 failing test [process ID: 741],Test failure
cannot compile module [process ID: 428],Build failure
syntax error in file [process ID: 940],Build failure
syntax error in file [process ID: 133],Build failure
npm ERR! missing dependency [process ID: 711],Dependency issue
npm ERR! missing dependency [process ID: 796],Dependency issue
Kubernetes pod crashloopbackoff [process ID: 354],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 882],Test failure
version conflict for package [process ID: 109],Dependency issue
invalid configuration file [process ID: 721],Configuration error
Jest failed with 1 failing test [process ID: 438],Test failure
all tests passed [process ID: 688],Success
fatal error: file not found [process ID: 987],Build failure
build successful [process ID: 831],Success
ModuleNotFoundError [process ID: 468],Dependency issue
Test suite failed [process ID: 228],Test failure
AWS credential invalid [process ID: 813],Deployment error
version conflict for package [process ID: 177],Dependency issue
env variable missing [process ID: 925],Configuration error
invalid configuration file [process ID: 795],Configuration error
syntax error in file [process ID: 572],Build failure
dockerfile build error [process ID: 809],Configuration error
version conflict for package [process ID: 502],Dependency issue
YAML syntax error [process ID: 837],Configuration error
version conflict for package [process ID: 261],Dependency issue
version conflict for package [process ID: 545],Dependency issue
Jest failed with 1 failing test [process ID: 540],Test failure
syntax error in file [process ID: 183],Build failure
npm ERR! missing dependency [process ID: 290],Dependency issue
cannot compile module [process ID: 122],Build failure
ModuleNotFoundError [process ID: 572],Dependency issue
Jest failed with 1 failing test [process ID: 961],Test failure
Expected true but got false [process ID: 196],Test failure
dockerfile build error [process ID: 851],Configuration error
pip install failed [process ID: 361],Dependency issue
gitleaks: secret detected [process ID: 368],Security issue
build successful [process ID: 584],Success
all tests passed [process ID: 267],Success
ModuleNotFoundError [process ID: 227],Dependency issue
0 vulnerabilities [process ID: 448],Success
deployed successfully [process ID: 106],Success
AWS credential invalid [process ID: 549],Deployment error
Test suite failed [process ID: 634],Test failure
dockerfile build error [process ID: 858],Configuration error
env variable missing [process ID: 330],Configuration error
timeout waiting for service [process ID: 920],Deployment error
vulnerability found in package [process ID: 765],Security issue
AWS credential invalid [process ID: 937],Deployment error
timeout waiting for service [process ID: 247],Deployment error
Jest failed with 1 failing test [process ID: 156],Test failure
Test suite failed [process ID: 950],Test failure
